engineload,coolant,vehiclespeed,rpm,obddistance,runtime,engine_torque_percent,fuel_consumption,fuel_level,fl_level,fuel_rate,fuel_economy,accelerator_pedal_pos,drivers_demand_engine_torque_percent,engine_torque_mode,adblue_level,part_of_day,date,time
32,2.85266E+12,39.625,995,60798140,1971.5,25,17940.5,22,80.3,8.65,1.715345163,36.8,34,2.302585093,52.32,Late Night,02-03-2024,04:38:34
73,3.36429E+12,42,1056.125,60798728,1971.55,55,17940.5,20.4,74.46,17.75,1.207092932,66.8,56,1.098612289,52.312,Late Night,02-03-2024,04:39:38
10,2.85266E+12,33.46875,749.875,60799684,1971.55,6,17940.5,22.4,81.76,1.75,2.994168552,0,0,0.693147181,52.32,Late Night,02-03-2024,04:40:43
15,3.09945E+12,28.34375,831.125,60800272,1971.6,6,17940.5,24,87.6,2.65,2.518357786,0,0,0.693147181,52.32,Late Night,02-03-2024,04:41:48
46,3.64826E+12,36.53125,925.75,60800808,1971.6,33,17941,22.4,81.76,8.1,1.701546974,43.2,33,1.098612289,52.32,Late Night,02-03-2024,04:42:52
68,3.64826E+12,27.6875,689.875,60801444,1971.6,43,17941,14,51.1,11.95,1.182852911,0,0,0.693147181,52.312,Late Night,02-03-2024,04:43:56
45,2.85266E+12,42.921875,1087.75,60801944,1971.65,34,17941,19.2,70.08,10,1.665271669,46,34,1.098612289,52.32,Late Night,02-03-2024,05:17:49
41,3.09945E+12,39.984375,1017.875,60802780,1971.65,31,17941.5,21.6,78.84,9.4,1.661941402,42,32,1.098612289,52.32,Late Night,02-03-2024,05:18:53
35,3.09945E+12,37.328125,950.75,60803408,1971.65,25,17941.5,18.8,68.62,6.5,1.910121034,36,25,1.098612289,52.32,Late Night,02-03-2024,05:19:58
23,2.85266E+12,46.328125,766,60804036,1971.7,16,17941.5,22,80.3,11.8,1.582114895,0,0,0.693147181,52.32,Late Night,02-03-2024,05:21:03
35,2.85266E+12,32.203125,818.375,60804904,1971.7,24,17941.5,21.6,78.84,5.95,1.865169646,31.2,25,0.693147181,52.32,Late Night,02-03-2024,05:22:07
24,3.36429E+12,40.65625,783.125,60805544,1971.7,17,17942,21.2,77.38,4.55,2.300825746,0,0,0.693147181,52.32,Late Night,02-03-2024,05:23:12
85,3.36429E+12,34.765625,879,60806272,1971.75,58,17942,20,73,16.05,1.146285766,71.6,59,1.098612289,52.312,Late Night,02-03-2024,05:24:16
24,3.09945E+12,40.578125,1043.625,60806920,1971.75,12,17942.5,20.8,75.92,4.75,2.266593497,28.8,13,1.098612289,52.32,Late Night,02-03-2024,05:25:21
20,2.85266E+12,45.21875,1133.125,60807676,1971.8,16,17942.5,22.8,83.22,5.25,2.248203139,34,23,2.302585093,52.32,Late Night,02-03-2024,05:26:26
11,3.09945E+12,39.4375,750.375,60808476,1971.8,7,17942.5,20.8,75.92,1.9,3.076465819,0,0,0.693147181,52.32,Late Night,02-03-2024,05:27:31
20,3.09945E+12,38.953125,767.375,60809184,1971.8,14,17942.5,22,80.3,3.65,2.462189645,0,0,0.693147181,52.32,Late Night,02-03-2024,05:28:35
19,3.64826E+12,43.671875,769.625,60809856,1971.85,13,17942.5,21.2,77.38,3.1,2.702697367,0,0,0.693147181,52.32,Late Night,02-03-2024,05:29:40
35,3.09945E+12,41.84375,1048,60810676,1971.85,27,17943,21.6,78.84,8.5,1.780300836,38,27,1.098612289,52.32,Late Night,02-03-2024,05:30:45
38,3.09945E+12,45.453125,1139.5,60811312,1971.85,27,17943,22.4,81.76,10.55,1.662682427,40.4,27,1.098612289,52.32,Late Night,02-03-2024,05:31:49
54,3.09945E+12,31.703125,795.875,60812032,1971.9,36,17943,20.8,75.92,9.25,1.47590652,58.4,49,2.302585093,52.32,Late Night,02-03-2024,05:32:53
0,3.64826E+12,46.671875,1092.5,60812780,1971.9,0,17943.5,16.4,59.86,0,4.840242308,0,0,1.098612289,52.32,Late Night,02-03-2024,05:33:58
19,3.09945E+12,43.796875,749.25,60813516,1971.9,13,17943.5,21.2,77.38,3.5,2.600082141,0,0,0.693147181,52.32,Late Night,02-03-2024,05:35:03
10,2.85266E+12,39.109375,749.75,60814240,1971.95,6,17943.5,21.2,77.38,1.7,3.161064619,0,0,0.693147181,52.32,Late Night,02-03-2024,05:36:08
19,3.64826E+12,54.546875,849.25,60815936,1972,11,17943.5,21.6,78.84,3.4,2.838255786,0,0,0.693147181,52.32,Late Night,02-03-2024,05:38:18
19,3.64826E+12,14.59375,748.25,60816632,1972,13,17944,22,80.3,3.5,1.662682427,0,0,0.693147181,52.312,Late Night,02-03-2024,05:39:22
35,3.64826E+12,5.34375,753.625,60816944,1972,20,17944,21.2,77.38,5.8,0.659380318,0,0,0.693147181,52.304,Late Night,02-03-2024,05:40:26
0,2.85266E+12,19.875,1076.25,60817020,1972.05,0,17944,21.2,77.38,0,4.840242308,0,0,1.098612289,52.312,Late Night,02-03-2024,05:58:02
51,3.09945E+12,28.15625,711.625,60817640,1972.05,33,17944,20,73,6.55,1.664532543,30.8,23,0.693147181,52.32,Late Night,02-03-2024,05:59:06
21,3.09945E+12,33.46875,850.75,60818184,1972.05,15,17944,20.8,75.92,4.05,2.22356721,19.6,16,1.098612289,52.32,Morning,02-03-2024,06:00:11
38,3.09945E+12,38.796875,980,60818864,1972.1,27,17944.5,20.4,74.46,8.6,1.695472259,38.4,27,1.098612289,52.32,Morning,02-03-2024,06:01:15
38,3.36429E+12,41.671875,1050.375,60819460,1972.1,33,17944.5,20.8,75.92,9,1.715345163,40,33,1.098612289,52.32,Morning,02-03-2024,06:02:19
0,3.36429E+12,43.296875,896.375,60820216,1972.1,0,17944.5,20.8,75.92,0,4.840242308,0,0,1.098612289,52.32,Morning,02-03-2024,06:03:24
57,3.09945E+12,38.5,965.75,60820836,1972.15,42,17944.5,20.4,74.46,13.4,1.338285142,56.8,45,2.302585093,52.32,Morning,02-03-2024,06:04:28
50,3.64826E+12,44.609375,1134.5,60821568,1972.15,38,17945,19.2,70.08,13.6,1.454701118,50,39,1.098612289,52.32,Morning,02-03-2024,06:05:33
32,3.64826E+12,47.765625,1221.875,60823352,1972.2,23,17945,23.2,84.68,8.7,1.877793807,36,23,1.098612289,52.32,Morning,02-03-2024,06:07:43
19,3.64826E+12,45.484375,772.625,60825200,1972.25,13,17945.5,19.6,71.54,3.55,2.625008208,0,0,0.693147181,52.32,Morning,02-03-2024,06:09:52
56,2.85266E+12,45.546875,1153.25,60826160,1972.25,41,17945.5,20.8,75.92,15,1.394560874,54.4,41,1.098612289,52.32,Morning,02-03-2024,06:10:57
19,3.64826E+12,51.515625,773.5,60828824,1972.3,13,17946,20.8,75.92,3.5,2.741343929,0,0,0.693147181,52.32,Morning,02-03-2024,06:14:12
39,3.36429E+12,40.328125,1023.625,60829740,1972.3,30,17946,19.2,70.08,9.1,1.6853857,40.4,30,1.098612289,52.32,Morning,02-03-2024,06:15:16
30,3.09945E+12,41.75,1051.875,60830480,1972.35,23,17946,18.8,68.62,7.85,1.832893895,34.8,24,1.098612289,52.32,Morning,02-03-2024,06:16:21
25,3.64826E+12,56.140625,875.75,60832256,1972.35,13,17946.5,19.6,71.54,5.35,2.459021074,0,0,0.693147181,52.32,Morning,02-03-2024,06:18:31
68,3.9525E+12,42.078125,1053.75,60832864,1972.4,52,17946.5,18.8,68.62,19.75,1.134421741,63.6,53,1.098612289,52.312,Morning,02-03-2024,06:19:35
36,3.64826E+12,41.140625,1042.625,60833728,1972.4,27,17947,18.4,67.16,8.95,1.719902572,38.4,27,1.098612289,52.32,Morning,02-03-2024,06:20:40
53,3.36429E+12,48.328125,1217.625,60834520,1972.45,43,17947,17.6,64.24,14.45,1.467838357,53.6,44,1.098612289,52.32,Morning,02-03-2024,06:21:45
75,3.09945E+12,26.390625,656.5,60835184,1972.45,48,17947,18.8,68.62,13.8,1.059443649,85.6,63,2.302585093,52.312,Morning,02-03-2024,06:22:50
65,3.9525E+12,51.609375,1321,60835800,1972.45,49,17947.5,18.4,67.16,20.45,1.266066934,62.4,49,1.098612289,52.32,Morning,02-03-2024,06:23:54
59,3.9525E+12,50.5,1277.625,60836684,1972.5,47,17947.5,18.4,67.16,18.9,1.300702431,58,48,1.098612289,52.32,Morning,02-03-2024,06:24:59
9,3.36429E+12,47.984375,756.125,60837500,1972.5,6,17947.5,19.6,71.54,1.65,3.408139364,0,0,0.693147181,52.32,Morning,02-03-2024,06:26:04
9,2.85266E+12,54,750.75,60838448,1972.5,6,17947.5,20,73,1.25,3.787646017,0,0,0.693147181,52.32,Morning,02-03-2024,06:27:08
34,3.64826E+12,41.609375,1058.375,60839200,1972.55,25,17947.5,18.8,68.62,9.5,1.689720985,36,25,1.098612289,52.32,Morning,02-03-2024,06:28:13
19,3.36429E+12,54.65625,754.125,60840864,1972.6,13,17948,20.4,74.46,2.55,3.107158346,0,0,0.693147181,52.32,Morning,02-03-2024,06:30:23
42,3.64826E+12,47.0625,1134,60841660,1972.6,33,17948,17.2,62.78,11.75,1.5712167,44.8,34,1.098612289,52.32,Morning,02-03-2024,06:31:27
74,3.64826E+12,26.234375,1233.25,60842352,1972.6,53,17948.5,14.4,52.56,18.85,0.857568607,66.4,53,1.098612289,52.312,Morning,02-03-2024,06:32:32
9,4.27819E+12,46.6875,765.125,60843124,1972.65,6,17948.5,18.8,68.62,1.65,3.381207237,0,0,0.693147181,52.32,Morning,02-03-2024,06:33:37
57,3.9525E+12,47.328125,1192.875,60843960,1972.65,44,17948.5,18,65.7,15.35,1.403719778,55.2,44,1.098612289,52.32,Morning,02-03-2024,06:34:41
9,3.09945E+12,48.046875,751.625,60844768,1972.65,6,17949,18,65.7,1.65,3.387959108,0,0,0.693147181,52.32,Morning,02-03-2024,06:35:46
9,2.85266E+12,48.453125,749.375,60845712,1972.7,6,17949,20,73,1.7,3.369381481,0,0,0.693147181,52.32,Morning,02-03-2024,06:36:51
37,3.64826E+12,53.765625,1362.375,60846488,1972.7,28,17949,19.2,70.08,11.2,1.750557628,82.8,71,2.302585093,52.32,Morning,02-03-2024,06:37:56
55,3.36429E+12,45.46875,1156.25,60847448,1972.7,44,17949,18.4,67.16,15.6,1.360074711,54.4,44,2.302585093,52.32,Morning,02-03-2024,06:39:00
24,3.36429E+12,46.828125,755.375,60848272,1972.75,18,17949,19.6,71.54,4.7,2.386286975,0,0,0.693147181,52.32,Morning,02-03-2024,06:40:05
18,3.36429E+12,47.296875,806.625,60849240,1972.75,12,17949,17.6,64.24,3.3,2.735913586,0,0,0.693147181,52.32,Morning,02-03-2024,06:41:10
16,3.64826E+12,53.765625,849.125,60850048,1972.8,10,17949.5,19.6,71.54,3.85,2.707138319,0,0,0.693147181,52.32,Morning,02-03-2024,06:42:15
29,3.64826E+12,44.578125,1130.75,60850960,1972.8,22,17949.5,17.2,62.78,7.2,1.97451496,34.4,23,1.098612289,52.32,Morning,02-03-2024,06:43:20
6,3.36429E+12,42.359375,922.25,60852280,1972.85,4,17949.5,18,65.7,1.4,3.294533943,11.6,5,1.098612289,52.32,Morning,02-03-2024,06:45:28
58,3.64826E+12,31.0625,1061.125,60852904,1972.85,44,17950,16.8,61.32,13.7,1.161684892,64.8,53,2.302585093,52.312,Morning,02-03-2024,06:46:32
0,3.64826E+12,38.609375,1019.625,60853552,1972.85,0,17950,19.6,71.54,0,4.840242308,0,0,1.098612289,52.32,Morning,02-03-2024,06:47:37
21,3.64826E+12,46.34375,748.25,60854300,1972.9,14,17950,19.6,71.54,3.75,2.590169486,0,0,0.693147181,52.32,Morning,02-03-2024,06:48:41
42,3.09945E+12,46.15625,1169.5,60855088,1972.9,31,17950.5,16.4,59.86,11.25,1.631841312,44,31,1.098612289,52.32,Morning,02-03-2024,06:49:46
35,3.36429E+12,43.453125,1102,60855924,1972.95,30,17950.5,15.2,55.48,8.95,1.759338511,36.8,31,1.098612289,52.32,Morning,02-03-2024,06:50:51
48,3.09945E+12,41.75,1056.5,60856712,1972.95,36,17950.5,18.4,67.16,11.15,1.55402431,48,37,1.098612289,52.32,Morning,02-03-2024,06:51:55
51,3.64826E+12,42.75,1075.5,60857584,1972.95,38,17950.5,19.2,70.08,14.05,1.393107052,50,39,1.098612289,52.32,Morning,02-03-2024,06:53:00
9,3.36429E+12,41.96875,759.125,60858408,1973,6,17951,18.4,67.16,1.25,3.533059098,0,0,0.693147181,52.32,Morning,02-03-2024,06:54:05
50,3.64826E+12,45.78125,1157.625,60859088,1973,37,17951,17.6,64.24,11.2,1.622246136,50,38,1.098612289,52.32,Morning,02-03-2024,06:55:10
9,3.36429E+12,47.125,754.375,60860004,1973,6,17951,18.4,67.16,1.25,3.632381428,0,0,0.693147181,52.32,Morning,02-03-2024,06:56:15
45,3.36429E+12,45.375,1140.75,60860808,1973,38,17951.5,18.4,67.16,13.3,1.469636895,49.2,37,2.302585093,52.32,Morning,02-03-2024,06:57:19
10,2.85266E+12,44.171875,752.75,60861800,1973.05,6,17951.5,16.8,61.32,1.7,3.292866607,0,0,0.693147181,52.32,Morning,02-03-2024,06:58:24
10,3.09945E+12,38.3125,751.875,60862536,1973.05,6,17951.5,19.6,71.54,1.25,3.44208187,0,0,0.693147181,52.32,Morning,02-03-2024,06:59:29
0,3.36429E+12,37.546875,969.5,60863060,1973.05,0,17951.5,20,73,0,4.840242308,0,0,1.098612289,52.32,Morning,02-03-2024,07:00:32
12,3.36429E+12,0,796.625,60863516,1973.1,8,17951.5,18,65.7,1.85,0,0,0,0.693147181,52.304,Morning,02-03-2024,07:01:36
47,3.64826E+12,32.484375,1026.25,60863836,1973.1,37,17951.5,17.6,64.24,11.4,1.504077397,46.8,38,1.098612289,52.32,Morning,02-03-2024,07:02:40
24,3.64826E+12,46.34375,770.875,60864700,1973.1,17,17952,17.2,62.78,4.65,2.398782697,0,0,0.693147181,52.32,Morning,02-03-2024,07:03:45
38,3.36429E+12,40.25,1009.625,60865420,1973.15,29,17952,18.8,68.62,8.9,1.70510312,39.6,29,1.098612289,52.32,Morning,02-03-2024,07:04:50
46,3.64826E+12,49.46875,1252.5,60866272,1973.15,35,17952.5,16.8,61.32,12.1,1.624172582,48.4,35,1.098612289,52.32,Morning,02-03-2024,07:05:54
34,3.09945E+12,50.796875,1282.125,60867116,1973.15,27,17952.5,18.4,67.16,11.8,1.663052724,39.6,28,1.098612289,52.32,Morning,02-03-2024,07:06:59
39,3.36429E+12,46.03125,1156.625,60868076,1973.2,30,17952.5,18,65.7,11.95,1.574053586,42,30,1.098612289,52.32,Morning,02-03-2024,07:08:03
42,3.64826E+12,51.515625,1291.25,60868836,1973.2,33,17952.5,18.4,67.16,12.9,1.600807013,56.4,44,2.302585093,52.32,Morning,02-03-2024,07:09:08
46,3.09945E+12,47.53125,1198.25,60869876,1973.25,35,17952.5,18.4,67.16,12.3,1.574862637,50.4,39,2.302585093,52.32,Morning,02-03-2024,07:10:13
17,3.64826E+12,59.140625,815.875,60871552,1973.25,12,17953,18.8,68.62,3.25,2.946287585,0,0,0.693147181,52.32,Morning,02-03-2024,07:12:22
32,3.64826E+12,47.3125,1196.625,60872392,1973.3,24,17953,16,58.4,9.2,1.813334936,37.6,25,1.098612289,52.32,Morning,02-03-2024,07:13:27
39,3.64826E+12,45.015625,1183.625,60873140,1973.3,29,17953.5,17.2,62.78,8.4,1.846546,42,30,1.098612289,52.32,Morning,02-03-2024,07:14:31
30,3.64826E+12,39.4375,1020.25,60873976,1973.3,27,17953.5,18,65.7,8.4,1.737927341,34.4,25,2.302585093,52.32,Morning,02-03-2024,07:15:36
46,3.36429E+12,44.078125,1109.625,60874676,1973.35,36,17953.5,18,65.7,12.95,1.478581522,49.6,36,1.098612289,52.32,Morning,02-03-2024,07:16:40
45,3.64826E+12,43.953125,1105.125,60875500,1973.35,32,17954,17.2,62.78,12.6,1.496234231,46,33,1.098612289,52.32,Morning,02-03-2024,07:17:45
58,3.64826E+12,50.203125,1265.875,60876208,1973.4,44,17954,16,58.4,18.3,1.314961987,57.6,45,1.098612289,52.32,Morning,02-03-2024,07:18:49
45,3.64826E+12,43.984375,1106.75,60877036,1973.4,35,17954,20,73,12.8,1.48169331,46,35,1.098612289,52.32,Morning,02-03-2024,07:19:54
10,3.09945E+12,51.6875,751.125,60877920,1973.4,6,17954,18.4,67.16,1.7,3.426461473,0,0,0.693147181,52.32,Morning,02-03-2024,07:20:58
62,2.85266E+12,33.109375,834,60878848,1973.45,42,17954.5,18,65.7,10.7,1.403239822,61.2,50,2.302585093,52.32,Morning,02-03-2024,07:22:03
19,3.64826E+12,55.65625,781.125,60879604,1973.45,13,17954.5,18,65.7,3.45,2.842590185,0,0,0.693147181,52.32,Morning,02-03-2024,07:23:07
19,3.09945E+12,40.703125,751.75,60880480,1973.45,13,17954.5,19.6,71.54,2.6,2.865432226,0,0,0.693147181,52.32,Morning,02-03-2024,07:24:12
55,3.09945E+12,38.46875,971.875,60881320,1973.5,40,17954.5,15.6,56.94,12.45,1.404679023,52.4,41,1.098612289,52.32,Morning,02-03-2024,07:25:17
19,3.36429E+12,25.109375,754.375,60882048,1973.5,13,17954.5,22.4,81.76,2.55,2.407613534,0,0,0.693147181,52.32,Morning,02-03-2024,07:26:22
30,3.64826E+12,44.828125,1134,60882460,1973.55,25,17955,18,65.7,9.3,1.757655828,36,26,1.098612289,52.32,Morning,02-03-2024,07:33:12
34,3.36429E+12,30.9375,1073.125,60883296,1973.55,25,17955,13.2,48.18,10.4,1.373023086,36.8,26,1.098612289,52.32,Morning,02-03-2024,07:34:17
28,3.36429E+12,45.90625,1132.5,60884020,1973.55,13,17955,16.8,61.32,5.4,2.248821645,26.8,14,1.098612289,52.32,Morning,02-03-2024,07:35:21
41,3.36429E+12,44.53125,1139.25,60884856,1973.6,34,17955.5,15.2,55.48,11.95,1.547811818,44.8,34,1.098612289,52.32,Morning,02-03-2024,07:36:26
40,3.09945E+12,38.796875,996,60885592,1973.6,30,17955.5,16.8,61.32,9.2,1.654127414,40,31,1.098612289,52.32,Morning,02-03-2024,07:37:31
40,3.36429E+12,36.5625,930.375,60886324,1973.6,30,17955.5,17.6,64.24,9.2,1.606699787,40.4,31,1.098612289,52.32,Morning,02-03-2024,07:38:35
62,3.9525E+12,33.046875,842.375,60886864,1973.65,38,17955.5,16,58.4,10.25,1.433502179,33.6,26,0.693147181,52.32,Morning,02-03-2024,07:39:39
19,4.27819E+12,14.234375,763.75,60887216,1973.65,13,17956,17.6,64.24,3.45,1.682121857,0,0,0.693147181,52.312,Morning,02-03-2024,07:40:43
17,3.9525E+12,38.8125,750.125,60887728,1973.65,13,17956,16.8,61.32,3.2,2.573625533,0,0,0.693147181,52.32,Morning,02-03-2024,07:41:47
0,3.36429E+12,40.890625,1053.5,60888396,1973.7,0,17956,18,65.7,0,4.840242308,0,0,1.098612289,52.32,Morning,02-03-2024,07:42:52
55,3.36429E+12,30.484375,776,60889060,1973.7,34,17956,14.8,54.02,9.25,1.450130737,0,0,0.693147181,52.32,Morning,02-03-2024,07:43:56
19,3.36429E+12,17.765625,795.875,60889408,1973.75,12,17956,17.6,64.24,3.35,1.958938764,0,0,0.693147181,52.312,Morning,02-03-2024,07:45:00
49,3.36429E+12,6.875,712.625,60889488,1973.75,37,17956.5,14.4,52.56,6.6,0.660389922,48.4,43,2.302585093,52.304,Morning,02-03-2024,07:46:04
64,3.64826E+12,45.171875,1127.375,60890156,1973.75,49,17956.5,14.4,52.56,17.9,1.248288688,60.8,49,1.098612289,52.32,Morning,02-03-2024,07:47:08
47,3.9525E+12,41.203125,1034.875,60890740,1973.8,35,17956.5,13.2,48.18,10.55,1.582917453,46.8,36,1.098612289,52.32,Morning,02-03-2024,07:48:12
22,3.36429E+12,20.6875,751.625,60891420,1973.8,15,17956.5,24.4,89.06,4,1.850237161,0,0,0.693147181,52.312,Morning,02-03-2024,07:49:16
11,3.64826E+12,29.1875,780.5,60891904,1973.8,8,17957,14.4,52.56,2.15,2.681930773,0,0,0.693147181,52.32,Morning,02-03-2024,07:50:20
10,3.36429E+12,12.21875,788.5,60892104,1973.85,6,17957,16.8,61.32,1.7,2.097586472,0,0,0.693147181,52.312,Morning,02-03-2024,07:51:24
19,3.64826E+12,49.21875,786.125,60892796,1973.85,13,17957,14,51.1,3.45,2.719314652,0,0,0.693147181,52.32,Morning,02-03-2024,07:52:28
59,3.36429E+12,17.484375,824.625,60893396,1973.85,38,17957,11.6,42.34,9.75,1.006616912,48,38,1.098612289,52.304,Morning,02-03-2024,07:53:32
43,3.9525E+12,44.765625,1325.5,60893756,1973.9,33,17957.5,16.8,61.32,13.3,1.5928956,46.8,34,1.098612289,52.32,Morning,02-03-2024,07:54:36
20,3.09945E+12,45.328125,751.125,60894780,1973.9,13,17957.5,16.8,61.32,3.55,2.633180739,0,0,0.693147181,52.32,Morning,02-03-2024,07:55:41
19,3.09945E+12,41.15625,751,60896444,1973.95,13,17957.5,16.8,61.32,3.45,2.559979103,0,0,0.693147181,52.32,Morning,02-03-2024,07:57:51
45,3.36429E+12,47.90625,1210.75,60897124,1973.95,33,17957.5,17.2,62.78,11.85,1.610999193,46.4,33,1.098612289,52.32,Morning,02-03-2024,07:58:56
51,3.64826E+12,38.390625,962,60898836,1974,37,17958,13.6,49.64,11.6,1.450588712,48.4,38,1.098612289,52.32,Morning,02-03-2024,08:13:27
21,3.36429E+12,53.109375,754.875,60899576,1974,14,17958,15.6,56.94,3.4,2.848378128,0,0,0.693147181,52.32,Morning,02-03-2024,08:14:32
58,3.36429E+12,30.40625,760.875,60900408,1974.05,37,17958.5,12.4,45.26,9.75,1.410415152,46.8,36,0.693147181,52.32,Morning,02-03-2024,08:15:36
25,3.36429E+12,42.4375,751.375,60901128,1974.05,18,17958.5,16.8,61.32,4.7,2.299259269,0,0,0.693147181,52.32,Morning,02-03-2024,08:16:41
19,3.9525E+12,51.46875,794.625,60902048,1974.1,13,17958.5,12,43.8,3.5,2.760059369,0,0,0.693147181,52.32,Morning,02-03-2024,08:17:46
19,3.36429E+12,38.328125,761.875,60902836,1974.1,13,17958.5,16.4,59.86,3.35,2.507278197,0,0,0.693147181,52.32,Morning,02-03-2024,08:18:50
21,3.09945E+12,2.90625,752.375,60903076,1974.1,14,17959,13.2,48.18,3.85,0.295464213,0,0,0.693147181,52.304,Morning,02-03-2024,08:19:53
42,3.64826E+12,41.46875,1053.5,60903320,1974.15,33,17959,15.2,55.48,9.8,1.650384904,43.2,33,1.098612289,52.32,Morning,02-03-2024,08:20:57
37,3.09945E+12,42.546875,1076.625,60904072,1974.15,28,17959,16.4,59.86,8.7,1.771370724,39.2,28,1.098612289,52.32,Morning,02-03-2024,08:22:01
8,3.64826E+12,52.109375,820,60905656,1974.2,6,17959.5,13.6,49.64,1.55,3.541468759,0,0,0.693147181,52.32,Morning,02-03-2024,08:24:10
10,2.85266E+12,48.5625,748.375,60906660,1974.2,6,17959.5,15.2,55.48,1.25,3.666761649,0,0,0.693147181,52.32,Morning,02-03-2024,08:25:15
19,4.27819E+12,66.078125,750.375,60907576,1974.25,13,17959.5,15.2,55.48,2.55,3.285657902,0,0,0.693147181,52.32,Morning,02-03-2024,08:26:20
